#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Entrez le mot de passe correct ci-dessus, puis saisissez les caractères indiqués par l'image ci-dessous.
#From:regenerate,Regenerate
regenerate,Générer à nouveau
IPSEC_ALG_ESP_UNABLE_TO_HANDLE_HEADER,Paquet ESP rejeté de %v à %v car impossible de traiter l'en-tête de paquet.
#From: IPSEC_ALG_ESP_ESTABLISH_ALREADY_PENDING,Dropped ESP packet from %v as connection attempt already pending from %v to %v
IPSEC_ALG_ESP_ESTABLISH_ALREADY_PENDING,Paquet ESP rejeté à partir de %v en raison d'une tentative de connexion déjà en cours de %v à %v.
#From: GW_SMTP_EMAIL_SEND_FAILURE,Unable to send email (send status %u)
GW_SMTP_EMAIL_SEND_FAILURE,Impossible d'envoyer un message électronique (état d'envoi %u).
#From: GW_LOG_ON_LATEST_FIRMWARE_RETRIEVED,Latest firmware version retrieved from the server was %d.%d
GW_LOG_ON_LATEST_FIRMWARE_RETRIEVED, La dernière version de progiciel récupérée du serveur était %d.%d
#From: IPRTSPALG_REJECTED_PACKET,RTSP ALG rejected packet from %v:%u to %v:%u
IPRTSPALG_REJECTED_PACKET, L’ALG RTSP a rejeté le paquet de %v:%u à %v:%u
#From: IPDHCPSERVER_LEASE_RELEASED,Lease %v released by client %m
IPDHCPSERVER_LEASE_RELEASED,Concession %v libérée par le client %m.
#From: IPNAT_TCP_BLOCKED_EGRESS_BAD_SEQ,Blocked outgoing TCP packet from %v:%u to %v:%u with unexpected sequence %lu (expected %lu to %lu)
IPNAT_TCP_BLOCKED_EGRESS_BAD_SEQ, Paquet TCP sortant bloqué de %v:%u à %v:%u avec la séquence inattendue %lu (prévue %lu à %lu)
#From: GW_LOGS_VIEWED,Log viewed by IP address %v
GW_LOGS_VIEWED,Journal vu par l'adresse IP %v.
#From: GW_LAN_INTERFACE_UP,LAN interface is up
GW_LAN_INTERFACE_UP,L'interface de réseau local est en service.
#From: GW_LOG_EMAIL_BEFORE_REBOOT,Sending log email before reboot
GW_LOG_EMAIL_BEFORE_REBOOT,Envoi d’un e-mail de connexion avant réinitialisation
#From: GW_INET_ACCESS_INITIAL_OTHERS,Internet access for all non-specified systems set to: %s
GW_INET_ACCESS_INITIAL_OTHERS,Accès Internet pour tous les systèmes non spécifiés défini sur : %s
#From: IPDHCPSERVER_PARAM_DB_ADDED,DHCP Server Parameter %u was added to the parameter database
IPDHCPSERVER_PARAM_DB_ADDED,Le paramètre %u du serveur DHCP a été ajouté à la base de données des paramètres.
#From: IPL2TP_TUNNEL_CONNECTED,L2TP local tunnel 0x%04X has been connected to \"%s\"
IPL2TP_TUNNEL_CONNECTED,Le tunnel local L2PT 0x%04X a été connecté à \"%s\".
#From: GW_WLAN_ACCESS_DENIED,Access denied to wireless system with MAC address %m
GW_WLAN_ACCESS_DENIED,Accès refusé au système sans fil avec l'adresse MAC %m.
#From: GW_INET_ACCESS_INITIAL_FAIL,Internet access control initialization failed
GW_INET_ACCESS_INITIAL_FAIL, L’initialisation du contrôle d'accès à Internet a échouée
#From: IPMMSALG_REJECTED_PACKET,MMS ALG rejected packet from %v:%u to %v:%u
IPMMSALG_REJECTED_PACKET, L’ALG MMS a rejeté le paquet de %v:%u à %v:%u
#From: GW_INET_ACCESS_UNRESTRICTED,No Internet access policy is in effect. Unrestricted Internet access allowed to everyone
GW_INET_ACCESS_UNRESTRICTED,Aucune stratégie d'accès à Internet n'est en vigueur. Quiconque peut accéder à Internet sans aucune restriction.
#From: BSECURE_LOG_AUTH_FAIL_PKT,%S service authorization failed: auth response packet corrupted
BSECURE_LOG_AUTH_FAIL_PKT,L'autorisation du service %S a échoué : paquet de réponse d'authentification corrompu
#From: IGMP_ROUTER_LOW_RESOURCES,IGMP router has rejected group %v due to low system resources
IGMP_ROUTER_LOW_RESOURCES, Le routeur IGMP a rejeté le groupe %v par manque de ressources système
#From: IPPPPCHAP_AUTH_SUCCESS,CHAP authentication successful.
IPPPPCHAP_AUTH_SUCCESS,Authentification CHAP réussie.
#From: IPL2TP_SESSION_ABORTED,L2TP local session 0x%04X aborted
IPL2TP_SESSION_ABORTED,Session locale L2TP 0x%04X abandonnée.
#From: IPPPPCHAP_AUTH_SENT,CHAP Authentication details sent to peer.
IPPPPCHAP_AUTH_SENT,Détails d'authentification CHAP envoyés au poste.
#From: IPPORTFORWARDALG_TCP_PACKET_ALLOC_FAILURE,Port forwarding ALG failed to allocate session for TCP packet from %v:%u to %v:%u
IPPORTFORWARDALG_TCP_PACKET_ALLOC_FAILURE, L’ALG de réacheminement de port n’a pas pu assigner de session pour le paquet TCP de %v:%u à %v:%u
#From: GW_DYNDNS_UPDATE_IP,WAN IP changed to %v, updating to dynamic DNS provider
GW_DYNDNS_UPDATE_IP,IP de réseau étendu changée à %v ; mise à jour auprès du fournisseur de DNS dynamique.
#From: IPNAT_BLOCKED_INGRESS_ICMP_ERROR_PACKET,Blocked incoming ICMP error message (ICMP type %u) from %v to %v as there is no session active for protocol %u between %v and %v
IPNAT_BLOCKED_INGRESS_ICMP_ERROR_PACKET, Message d'erreur de paquet entrant d’ICMP bloqué (type d’ICMP %u) de %v à %v car il n’y a aucune session active pour le protocole %u entre %v et %v
#From: IPL2TP_SHUTDOWN_STARTED,L2TP local tunnel 0x%04X RTE module is shutting down.
IPL2TP_SHUTDOWN_STARTED,Le module RTE 0x%04X du tunnel local L2TP est en cours de fermeture.
#From: IPSIPALG_REJECTED_PACKET,SIP ALG rejected packet from %v:%u to %v:%u
IPSIPALG_REJECTED_PACKET, L’ALG SIP a rejeté le paquet de %v:%u à %v:%u
#From: IPNAT_UDP_UNABLE_TO_HANDLE_HEADER,Dropped UDP packet from %v to %v as unable handle packet header
IPNAT_UDP_UNABLE_TO_HANDLE_HEADER,Paquet UDP rejeté de %v à %v car impossible de traiter l'en-tête de paquet.
#From: GW_EMAIL_SUBJ,Gateway Logs
GW_EMAIL_SUBJ,Journaux de passerelle
#From: GW_AUTH_SUCCEEDED,Allowed configuration authentication by IP address %v
GW_AUTH_SUCCEEDED,Authentification de configuration autorisée par l'adresse IP %v.
#From: RUNTIME_CONFIG_STORING_CONFIG_IN_NVRAM,Stored configuration to non-volatile memory
RUNTIME_CONFIG_STORING_CONFIG_IN_NVRAM,Configuration stockée dans la mémoire non volatile.
#From: IPNAT_TCP_BLOCKED_INGRESS_NOT_SYN,Blocked incoming TCP packet from %v:%u to %v:%u as %s received but there is no active connection
IPNAT_TCP_BLOCKED_INGRESS_NOT_SYN, Paquet TCP entrant bloqué de %v:%u à %v:%u car %s a été reçu mais il n’y a aucune connexion active
#From: IPNAT_TCP_BLOCKED_INGRESS_BAD_ACK,Blocked incoming TCP packet from %v:%u to %v:%u with unexpected acknowledgement %lu (expected %lu to %lu)
IPNAT_TCP_BLOCKED_INGRESS_BAD_ACK, Paquet TCP entrant est bloqué de %v:%u à %v:%u avec l'accusé de réception inattendu %lu (prévu %lu à %lu)
#From: GW_INET_ACCESS_INITIAL_MAC,Internet access for MAC address %m set to: %s
GW_INET_ACCESS_INITIAL_MAC,L'accès Internet pour l'adresse MAC %m est défini sur : %s
#From: GW_WAN_DISCONNECT_ON_INACTIVE,WAN connection inactive too long so attempting to disconnect
GW_WAN_DISCONNECT_ON_INACTIVE,Connexion de réseau étendu inactive trop longtemps ; tentative de déconnexion en cours...
#From: GW_WAN_SERVICES_STARTED,Starting WAN Services
GW_WAN_SERVICES_STARTED,Démarrage des services de réseau étendu
#From: GW_INET_ACCESS_POLICY_END_IP,Policy %s stopped; Internet access for IP address %v changed to: %s
GW_INET_ACCESS_POLICY_END_IP,La stratégie %s est arrêtée ; l'accès à Internet pour l'adresse IP %v devient : %s
#From: GW_INET_ACCESS_DROP_BAD_PKT,Internet access control dropped bad packet from %v to %v (protocol %u)
GW_INET_ACCESS_DROP_BAD_PKT,Le contrôle d'accès à Internet a rejeté un paquet erroné de %v à %v (protocole %u).
#From: IPPPPPAP_AUTH_ISSUE,PAP issued an authentication request.
IPPPPPAP_AUTH_ISSUE,Le protocole PAP a émis une demande d'authentification.
#From: BLOCKED,Blocked
BLOCKED,Bloqué(e)
#From: GW_UPNP_PORTMAP_ADD,UPnP added entry %v <-> %v:%d <-> %v:%d %S timeout:%d '%s'
GW_UPNP_PORTMAP_ADD, UPnP a ajouté l’entrée %v <-> %v:%d <-> %v:%d %S temporisation:%d '%s'
#From: EGRESS,Out
EGRESS, Sortant
#From: INGRESS,In
INGRESS, Entrant
#From: DHCP_CLIENT_GOT_LEASE,Obtained IP Address using DHCP. IP address is %v
DHCP_CLIENT_GOT_LEASE,Adresse IP obtenue via DHCP. L'adresse IP est %v.
#From: GW_LOG_EMAIL_ON_SCHEDULE,Sending log email on schedule
GW_LOG_EMAIL_ON_SCHEDULE,Envoi d'un journal par courrier électronique selon calendrier.
#From: IPNAT_TCP_BLOCKED_INGRESS_UNEXP_FLAGS,Blocked incoming TCP packet from %v:%u to %v:%u as %s is not allowed in state %s
IPNAT_TCP_BLOCKED_INGRESS_UNEXP_FLAGS, Paquet TCP entrant bloqué de %v:%u à %v:%u car %s n’est pas permis en l’état %s
#From: IPNAT_ICMP_UNABLE_TO_HANDLE_HEADER,Dropped ICMP packet from %v to %v as unable handle packet header
IPNAT_ICMP_UNABLE_TO_HANDLE_HEADER,Paquet ICMP rejeté de %v à %v car impossible de traiter l'en-tête de paquet.
#From: IPNAT_ICMP_BLOCKED_EGRESS_PACKET,Blocked outgoing ICMP packet (ICMP type %u) from %v to %v
IPNAT_ICMP_BLOCKED_EGRESS_PACKET, Paquet ICMP sortant bloqué (type d’ICMP %u) de %v à %v
#From: IPFTPALG_REJECTED_PACKET,FTP ALG rejected packet from %v:%u to %v:%u
IPFTPALG_REJECTED_PACKET, L’ALG FTP a rejeté le paquet de %v:%u à %v:%u
#From: GW_LOG_EMAIL_ON_USER_REQUEST,Sending log email after administrator request
GW_LOG_EMAIL_ON_USER_REQUEST,Envoi d'un journal par courrier électronique après requête de l'administrateur.
#From: GW_UPNP_PORTMAP_REFRESH,UPnP renew entry %v <-> %v:%d <-> %v:%d %S timeout:%d '%s'
GW_UPNP_PORTMAP_REFRESH, UPnP renouvelle l'entrée %v <-> %v:%d <-> %v:%d %S temporisation:%d '%s'
#From: GW_WAN_CARRIER_DETECTED,WAN interface cable has been connected
GW_WAN_CARRIER_DETECTED, Le câble WAN a été branché
#From: GW_WIRELESS_DEVICE_DISCONNECTED,Wireless system with MAC address %m disconnected for reason: %s
GW_WIRELESS_DEVICE_DISCONNECTED,Système sans fil avec adresse MAC %m déconnecté pour la raison suivante : %s
#From: IPL2TP_SHUTDOWN_COMPLETE,L2TP local tunnel 0x%04X RTE module has shut down.
IPL2TP_SHUTDOWN_COMPLETE,Le module RTE 0x%04X du tunnel local L2TP est éteint.
#From: IPL2TP_SESSION_CONNECTED,L2TP local session 0x%04X connected
IPL2TP_SESSION_CONNECTED,Session locale L2TP 0x%04X connectée.
#From: GW_SMTP_EMAIL_NO_SERVER_IP_ADDRESS,Unable to send email as server IP address is not known
GW_SMTP_EMAIL_NO_SERVER_IP_ADDRESS,Impossible d'envoyer un message électronique car l'adresse IP du serveur est inconnue.
#From: GW_INET_ACCESS_POLICY_START_MAC,Policy %s started; Internet access for MAC address %m changed to: %s
GW_INET_ACCESS_POLICY_START_MAC,La stratégie %s est démarrée ; l'accès à Internet pour l'adresse MAC %m devient : %s
#From: IPDHCPSERVER_PARAM_DB_REMOVED,DHCP Server Parameter %u was removed from the parameter database
IPDHCPSERVER_PARAM_DB_REMOVED,Le paramètre %u du serveur DHCP a été supprimé de la base de données des paramètres.
#From: IPDHCPSERVER_LEASE_DELETED,Lease was deleted from server pool %v
IPDHCPSERVER_LEASE_DELETED,La concession a été supprimée de la file d'attente du regroupement de serveurs %v.
#From: IPASYNCFILEUSB_MOUNT_FAILED,Failed to mount USB device
IPASYNCFILEUSB_MOUNT_FAILED,Échec du montage du périphérique USB
#From: GW_WLAN_LINK_DOWN,Wireless Link is down
GW_WLAN_LINK_DOWN,Liaison sans fil hors service.
#From: GW_SYSLOG_STATUS,Syslog server set as IP address %v
GW_SYSLOG_STATUS,Serveur Syslog défini à l'adresse IP %v.
#From: IPNAT_TCP_BLOCKED_INGRESS_BAD_SEQ,Blocked incoming TCP packet from %v:%u to %v:%u with unexpected sequence %lu (expected %lu to %lu)
IPNAT_TCP_BLOCKED_INGRESS_BAD_SEQ, Paquet TCP entrant bloqué de %v:%u à %v:%u avec la séquence inattendue %lu (prévue %lu à %lu)
#From: BIGPOND_NOT_PROPERLY_CFGD,BigPond not properly configured
BIGPOND_NOT_PROPERLY_CFGD,BigPond n'est pas configuré correctement.
#From: SPECIAL_APP,Special Applications
SPECIAL_APP,Applications spéciales
#From: GW_WAN_RECONNECT_ALWAYS_ON,Attempting to re-connect always-on WAN connection
GW_WAN_RECONNECT_ALWAYS_ON,Tentative de reconnexion d'une connexion de réseau étendu permanente.
#From: IPNAT_TCP_BLOCKED_EGRESS_NOT_SYN,Blocked outgoing TCP packet from %v:%u to %v:%u as %s received but there is no active connection
IPNAT_TCP_BLOCKED_EGRESS_NOT_SYN, Paquet TCP sortant bloqué de %v:%u à %v:%u car %s a été reçu mais il n’y a aucune connexion active
#From: IPPPPCHAP_CHALLENGE_RECVD,CHAP authentication challenge received from peer.
IPPPPCHAP_CHALLENGE_RECVD,Réclamation d'authentification CHAP reçue par le poste.
#From: IPPPPLCP_SET_LOCAL_AUTH,LCP sets local auth: %04x
IPPPPLCP_SET_LOCAL_AUTH,Le protocole LCP définit l'authentification locale : %04x
#From: BIGPOND_FAILED,BigPond failed, see log for details
BIGPOND_FAILED,Échec de BigPond ; consultez le journal pour plus de détails.
#From: GW_BIGPOND_SUCCESS,BigPond logged in, state=%d, server response=%s
GW_BIGPOND_SUCCESS,BigPond connecté, état = %d, réponse du serveur = %s.
#From: GW_UPNP_PORTMAP_CONFLICT,UPnP conflict with existing entry %v <-> %v:%d <-> %v:%d %S '%s'
GW_UPNP_PORTMAP_CONFLICT, UPnP est en conflit avec l'entrée existante %v <-> %v:%d <-> %v:%d %S '%s'
#From: GW_LAN_ACCESS_DENIED,Access denied to LAN system with MAC address %m
GW_LAN_ACCESS_DENIED,Accès refusé au système de réseau local avec l'adresse MAC %m.
#From: GW_INET_ACCESS_POLICY_START_IP,Policy %s started; Internet access for IP address %v changed to: %s
GW_INET_ACCESS_POLICY_START_IP,La stratégie %s est démarrée ; l'accès à Internet pour l'adresse IP %v devient : %s
#From: WEB_FILTER_LOG_URL_BLOCKED,Web site %S blocked for %v
WEB_FILTER_LOG_URL_BLOCKED,Site Web %S bloqué pour %v
#From: .advanced,Advanced
.advanced,Avancé
#From: .acccon,Access Control
.acccon,Contrôle d'accès
#From: aa.sched.new,Define a new schedule
aa.sched.new,Définir un nouveau calendrier
#From: aa.alert.11,is not a valid IP address
aa.alert.11,n'est pas une adresse IP valide
#From: aa.alert.7,This Machine rule is already used.
aa.alert.7,Cette règle d'ordinateur est déjà utilisée.
#From: aa.alert.14,You cannot add new IP addresses. You can only reuse IP addresses from other policies.
aa.alert.14,Vous ne pouvez pas ajouter de nouvelles adresses IP. Vous ne pouvez que réutiliser des adresses IP des autres politiques.
#From: aa.alert.15,You cannot add new MAC addresses. You can only reuse MAC addresses from other policies.
aa.alert.15,Vous ne pouvez pas ajouter de nouvelles adresses MAC.  Vous ne pouvez que réutiliser des adresses MAC des autres politiques.
#From: aa.alert.1,"This Access Control rule is already defined by the Policy " + data.access_ctrl_table[i].policy_name
aa.alert.1, "Cette règle de contrôle d'accès est déjà définie par la politique"  + data.access_ctrl_table[i].policy_name
#From: aa.alert.8,This Policy Name is already used.
aa.alert.8,Ce nom de stratégie est déjà utilisé.
#From: aa.sched.conf.1,You must abandon all your changes in order to define a new schedule.
aa.sched.conf.1,Vous devez annuler toutes les modifications afin de définir un nouveau calendrier.
#From: aa.sched.conf.2,Press 'Ok' to abandon these changes and display the Schedule page.
aa.sched.conf.2,Cliquez sur \"Ok\" pour annuler ces modifications et afficher la page de calendrier.
#From: up.ae.wic.3,Otherwise press 'Cancel'.
up.ae.wic.3,Sinon, cliquez sur \"Annuler\".
#From: aa.sched.conf.3,There are " + unsaved_policies + " unsaved policies, do you want to abandon these policies.
aa.sched.conf.3, Il y a des politiques non sauvegardées " + unsaved_policies +", voulez-vous abandonner ces politiques.
#From: aa.alert.16,'The Port Filter rule "' + data.access_ctrl_table[-1].port_filter_table[i].entry_name + '" is duplicated.'
aa.alert.16, 'La règle de filtre port "' + data.access_ctrl_table[-1].port_filter_table[i].entry_name + '" est reproduite.'
#From: aa.alert.2,"Destination IP Start address for Port Filter = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"' should not be in LAN subnet ("+lan_subnet+")"
aa.alert.2, " La première adresse IP de destination pour le Filtre de Port = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"' ne doit pas être dans le sous-réseau du réseau local  ("+lan_subnet+")"
#From: aa.alert.3,"Destination IP End address for Port Filter = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"' should not be in LAN subnet ("+lan_subnet+")"
aa.alert.3, "La dernière adresse IP de destination pour le Filtre de Port = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"'  ne doit pas être dans le sous-réseau du réseau local  ("+lan_subnet+")"
#From: aa.alert.4,"Invalid destination IP address range for Port Filter = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"'"
aa.alert.4, "Champ d’adresses IP de destination invalide pour le Filtre de Port = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"'"
#From: aa.alert.5,"Invalid destination port range for Port Filter = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"' should be in range (1..65535)"
aa.alert.5, "Champ des ports de destination invalide pour le Filtre de Port ='"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"' 'doit être dans l’étendue (1,,65535)"
#From: aa.alert.6,"Destination start port for Port Filter = '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"' should not be greater than destination end port"
aa.alert.6, " Le premier port de destination pour le Filtre de Port= '"+data.access_ctrl_table[-1].port_filter_table[j].entry_name+"' ne doit pas être plus grand que le dernier "
#From: .setup,Setup
.setup, Réglage
#From: .tools,Tools
.tools,Outils
#From: .status,Status
.status,État
#From: .support,Support
.support, Support
#From: .virtserv,Virtual Server
.virtserv,Serveur virtuel
#From: .pf,Port Forwarding
.pf,Redirection de port
#From: .specappsr,Application Rules
.specappsr, Règles d'application
#From: .netfilt,Network Filter
.netfilt, Filtre de réseau
#From: .websfilter,Website Filter
.websfilter, Filtre de site Web
#From: .inboundfilter,Inbound Filter
.inboundfilter,Filtre entrant
#From: .firewalls,Firewall Settings
.firewalls, Réglages du Firewall
#From: .adwwls,Advanced Wireless
.adwwls, Sans fil Avançé
#From: .advnetwork,Advanced Network
.advnetwork, Réseau Avançé
#From: aa.intro,The Access Control option allows you to control access in and out of your network. Use this feature as Access Controls to only grant access to approved sites, limit web access based on time or dates, and/or block internet access for applications like P2P utilities or games.
aa.intro, L'option de contrôle d'accès vous permet de contrôler l'accès entrant et sortant de votre réseau. Utilisez cette fonction pour n’autoriser les accès que sur des sites approuvés, limiter l'accès du Web en fonction de l'heure ou des dates, et/ou bloquer l'accès à Internet pour des applications telles que des utilitaires ou des jeux de P2P.
#From: .savesettings,Save Settings
.savesettings, Sauvegarde des paramètres
#From: .dontsavesettings,Don't Save Settings
.dontsavesettings, Ne pas sauvegarder les réglages
#From: aa.EAC,Enable Access Control
aa.EAC, Activer le contrôle d'accès
#From: .aa.pol.add,Add Policy
.aa.pol.add,Ajouter une stratégie
#From: aa.Policy.Table,Policy Table
aa.Policy.Table,Tableau des stratégies
#From: .enable,Enable
.enable,Activer
#From: aa.ACR.c2,Policy
aa.ACR.c2,Stratégie
#From: aa.Machine,Machine
aa.Machine,Ordinateur
#From: aa.ACR.c5,Filtering
aa.ACR.c5, Filtrage
#From: aa.ACR.c6,Logged
aa.ACR.c6,Jounalisé
#From: .sched,Schedule
.sched,Calendrier
#From: .aa.other.machines,Other Machines
.aa.other.machines,Autres ordinateurs
#From: .aa.allow.all,Log Web Access Only
.aa.allow.all,Autoriser l’accès au Web uniquement
#From: .aa.block.all,Block All Access
.aa.block.all,Bloquer tous les accès
#From: .aa.block.some,Block Some Access
.aa.block.some,Bloquer certains accès
#From: .yes,Yes
.yes,Oui
#From: .no,No
.no,Non
#From: .aa.wiz.s1.title,Add New Policy
.aa.wiz.s1.title,Ajout d'une nouvelle stratégie
#From: .aa.wiz.s1.msg,This wizard will guide you through the following steps to add a new policy for Access Control.
.aa.wiz.s1.msg, Cet assistant vous guidera via les étapes suivantes pour ajouter une nouvelle politique de contrôle d'accès.
#From: aa.wiz.s1.msg1,Step 1 - Choose a unique name for your policy
aa.wiz.s1.msg1,Étape 1 : Attribuez un nom unique à votre stratégie
